Briefdatum,Briefschreiber,Briefempfänger
1638-03-03,Hans von Dieskau,Fürst Ludwig
1638-03-10,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-03-12,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-03-20,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Saubert d. Ä.
1638-03-20,Christian Ernst (von) Knoch,Fürst Ludwig
1638-03-21,Fürst Ludwig,Diederich von dem Werder
1638-03-21,Diederich von dem Werder,Fürst Ludwig
1638-03-28,Fürst Ludwig,Christian Ernst (von) Knoch
1638-03-31,Hans Philipp Geuder,Fürst Christian II. von Anhalt-Bernburg
1638-04-02,Martin Opitz,Fürst Ludwig
1638-04-05,Diederich von dem Werder,Fürst Ludwig
1638-04-10,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-04-11,Fürst Ludwig,Martin Opitz
1638-04-17,Herzog August d. J. von Braunschweig-Wolfenbüttel,Johann Saubert d. Ä.
1638-04-23,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1638-04-23,Diederich von dem Werder,Fürst Ludwig
1638-04-27,Fürst Ludwig,Fürst Ernst Gottlieb von Anhalt-Plötzkau
1638-05-01,Christian Ernst (von) Knoch,Fürst Ludwig
1638-05-02,Diederich von dem Werder,Fürst Ludwig
1638-05-03,Christian Ernst (von) Knoch,Fürst Ludwig
1638-05-04,Fürst Ludwig,Martin Opitz
1638-05-07,Diederich von dem Werder,Fürst Ludwig
1638-05-09,Fürst Ludwig,Christian Ernst (von) Knoch
1638-05-09,Diederich von dem Werder,Fürst Ludwig
1638-05-22,Fürst Ludwig,Cuno Ordomar von Bodenhausen
1638-05-22,Fürst Ludwig,Diederich von dem Werder
1638-05-22,Diederich von dem Werder,Fürst Ludwig
1638-06-02,Diederich von dem Werder,Fürst Ludwig
1638-06-05,Christian Ernst (von) Knoch,Fürst Ludwig
1638-06-06,Fürst Ludwig,Fürst Christian II. von Anhalt-Bernburg
1638-06-08,Martin Opitz,Georg Rodolf Weckherlin
1638-06-08,Fürst Ludwig,Diederich von dem Werder
1638-06-09,Fürst Christian II. von Anhalt-Bernburg,Fürst Ludwig
1638-06-09,Diederich von dem Werder,Fürst Ludwig
1638-06-16,Freiherr Enno Wilhelm von Innhausen und Knyphausen,Fürst Ludwig
1638-06-19,Diederich von dem Werder,Fürst Ludwig
1638-06-25,Martin Opitz,Fürst Ludwig
1638-07-20,Fürst Ludwig,Martin Opitz
1638-07-21,Diederich von dem Werder,Fürst Ludwig
1638-07-24,Diederich von dem Werder,Fürst Ludwig
1638-07-28,Diederich von dem Werder,Fürst Ludwig
1638-08-03,Diederich von dem Werder,Fürst Ludwig
1638-08-10,Fürst Ludwig,Freiherr Enno Wilhelm von Innhausen und Knyphausen
1638-08-28,Fürst Ludwig,Martin Opitz
1638-09-04,Hans von Dieskau,Fürst Ludwig
1638-10-06,Diederich von dem Werder,Fürst Ludwig
1638-10-07,Fürst Ludwig,Herr Hans Georg von Wartenberg
1638-10-28,Wilhelm von Kalcheim gen. Lohausen,Herzog Adolph Friedrich I. von Mecklenburg-Schwerin
1638-10-30,Hans von Dieskau,Fürst Ludwig
1638-11-05,Christian Gueintz,Fürst Ludwig
1638-11-07,Christian Ernst (von) Knoch,Fürst Ludwig
1638-11-14,Diederich von dem Werder,Fürst Ludwig
1638-11-16,Martin Opitz,Fürst Ludwig
1638-11-16,Fürst Ludwig,Diederich von dem Werder
1638-11-23,Diederich von dem Werder,Fürst Ludwig
1638-11-30,Diederich von dem Werder,Fürst Ludwig
1638-12-04,Diederich von dem Werder,Fürst Ludwig
1638-12-18,Fürst Ludwig,Martin Opitz
1638-12-24,Fürst Ludwig,Martin Opitz
